time,ultrasonic,pressure
377644,105.82,1022.00
386136,105.84,1023.00
393214,105.73,1023.00
403044,105.58,1022.00
410120,106.02,1023.00
417915,105.71,1023.00
426424,105.71,1023.00
431453,105.87,1023.00
438512,105.50,1023.00
444936,105.48,1023.00
452012,105.34,1023.00
457717,105.36,1023.00
462726,105.39,1023.00
469831,105.54,1023.00
475536,105.43,1023.00
483314,105.57,1023.00
489053,105.37,1023.00
490416,105.14,1023.00
494536,105.30,1023.00
498837,105.35,1023.00
506643,105.30,1023.00
512331,105.32,1023.00
518747,105.29,1023.00
525839,105.48,1023.00
532229,105.28,1023.00
539304,105.06,1023.00
544993,105.13,1022.00
551416,105.40,1023.00
554852,105.36,1023.00
561259,105.15,1023.00
569069,105.49,1023.00
576179,105.18,1023.00
586787,105.17,1022.00
594566,105.16,1023.00
598888,105.42,1023.00
604594,105.34,1023.00
613742,105.44,1023.00
618740,105.39,1023.00
625865,105.42,1022.00
632990,105.53,1023.00
640769,105.39,1023.00
644385,105.50,1023.00
651445,105.36,1023.00
657835,105.01,1023.00
662838,105.36,1023.00
669262,105.31,1023.00
677007,105.34,1023.00
682712,105.34,1023.00
688442,105.31,1023.00
691876,105.35,1022.00
699705,105.32,1022.00
706764,105.60,1023.00
714542,105.20,1023.00
721635,105.48,1023.00
727323,105.32,1023.00
736107,105.47,1023.00
743914,105.63,1023.00
745277,105.58,1023.00
748026,105.66,1023.00
756457,105.51,1022.00
763516,105.58,1022.00
771261,105.42,1023.00
775382,105.49,1022.00
782491,105.67,1023.00
789617,105.70,1023.00
796024,105.48,1023.00
804520,105.52,1023.00
809507,105.54,1023.00
811555,105.37,1023.00
817931,105.59,1022.00
825742,105.54,1023.00
829862,106.04,1023.00
836282,105.63,1022.00
843392,105.64,1022.00
851907,105.51,1023.00
855342,105.64,1023.00
865192,105.67,1023.00
872954,106.13,1023.00
880053,105.88,1023.00
888532,105.78,1023.00
895609,106.10,1023.00
902744,105.94,1022.00
909804,106.23,1022.00
915545,106.04,1023.00
923307,106.13,1022.00
931799,106.12,1023.00
936804,106.13,1023.00
941792,106.26,1023.00
948201,106.32,1023.00
953934,106.04,1023.00
961028,106.16,1022.00
966735,106.34,1023.00
973144,106.35,1022.00
982327,106.22,1023.00
985762,106.14,1022.00
993558,106.31,1023.00
1000669,106.26,1023.00
1006359,106.48,1023.00
1011381,106.37,1023.00
1017773,106.31,1023.00
1024234,106.34,1023.00
1026139,106.32,1023.00
1032548,106.29,1022.00
1041714,106.23,1022.00
1051173,106.22,1022.00
1053222,106.23,1023.00
1060352,106.39,1023.00
1063970,106.27,1023.00
1071733,106.39,1022.00
1078109,106.32,1023.00
1084502,106.40,1023.00
1087937,106.21,1023.00
1093661,106.36,1023.00
1100054,106.57,1023.00
1105744,106.49,1023.00
1112104,106.61,1023.00
1116109,106.48,1022.00
1121817,106.51,1022.00
1128911,106.45,1023.00
1139465,106.32,1023.00
1145172,106.51,1023.00
1149475,106.31,1023.00
1158646,106.54,1023.00
1164354,106.18,1023.00
1172862,106.28,1023.00
1181310,106.04,1023.00
1189130,106.14,1023.00
1191195,106.32,1023.00
1194631,106.27,1023.00
1201040,106.18,1023.00
1207465,106.43,1022.00
1215268,106.34,1023.00
1222363,106.28,1023.00
1227401,106.34,1023.00
1233108,106.14,1023.00
1238798,106.03,1023.00
1246561,106.15,1023.00
1253654,106.12,1023.00
1260732,106.16,1023.00
1267124,106.18,1022.00
1269874,106.05,1023.00
1274880,106.44,1022.00
1279195,106.23,1023.00
1285591,106.11,1023.00
1287657,106.31,1023.00
1292661,106.12,1023.00
1299054,106.23,1023.00
1304076,106.40,1023.00
1309766,106.26,1023.00
1316158,106.09,1023.00
1321865,106.13,1023.00
1326870,105.79,1023.00
1332584,106.04,1023.00
1336903,106.23,1023.00
1340340,106.29,1023.00
1346732,106.16,1023.00
1353849,106.09,1023.00
1356600,106.08,1023.00
1360936,105.82,1022.00
1366632,105.92,1023.00
1372339,106.03,1023.00
1376642,105.95,1023.00
1384437,105.84,1023.00
1388756,105.81,1023.00
1395850,106.16,1023.00
1402958,106.12,1023.00
1410020,107.34,1023.00
1415041,105.98,1022.00
1422151,105.94,1023.00
1429963,106.03,1023.00
1440517,105.88,1023.00
1447626,105.70,1023.00
1456808,105.53,1023.00
1463216,105.53,1022.00
1470292,105.63,1023.00
1476701,105.49,1023.00
1483810,105.42,1023.00
1493003,105.48,1023.00
1497329,105.80,1023.00
1500947,105.90,1023.00
1510129,105.87,1023.00
1517206,105.67,1023.00
1523638,105.48,1023.00
1532118,105.66,1023.00
1537105,105.47,1023.00
1544199,105.47,1023.00
1549893,105.47,1023.00
1557671,105.42,1023.00
1565466,105.35,1022.00
1571874,105.26,1023.00
1579652,105.21,1023.00
1585374,105.27,1023.00
1591079,105.30,1023.00
1597487,105.30,1023.00
1602519,105.42,1023.00
1608893,105.58,1023.00
1612327,105.25,1023.00
1619421,105.19,1023.00
1625828,105.22,1023.00
1635679,105.43,1023.00
1641383,105.34,1023.00
1646438,105.52,1023.00
1649171,105.22,1022.00
1655596,105.27,1022.00
1662695,105.37,1022.00
1671175,105.18,1023.00
1679638,105.33,1023.00
1686736,105.41,1022.00
1693820,105.43,1023.00
1702300,105.49,1023.00
