Height,Time
2.71,0.083333333
2.71,0.166666667
2.7,0.25
2.71,0.333333333
2.71,0.416666667
2.71,0.5
2.7,0.583333333
2.71,0.666666667
2.7,0.75
2.71,0.833333333
2.7,0.916666667
2.71,1
2.7,1.083333333
2.7,1.166666667
2.7,1.25
2.71,1.333333333
2.71,1.416666667
2.7,1.5
2.71,1.583333333
2.71,1.666666667
2.7,1.75
2.7,1.833333333
2.71,1.916666667
2.7,2
2.71,2.083333333
2.71,2.166666667
2.7,2.25
2.7,2.333333333
2.71,2.416666667
2.71,2.5
2.7,2.583333333
2.7,2.666666667
2.71,2.75
2.71,2.833333333
2.71,2.916666667
2.7,3
2.71,3.083333333
2.71,3.166666667
2.71,3.25
2.71,3.333333333
2.7,3.416666667
2.71,3.5
2.71,3.583333333
2.7,3.666666667
2.7,3.75
2.71,3.833333333
2.71,3.916666667
2.7,4
2.71,4.083333333
2.7,4.166666667
2.71,4.25
2.71,4.333333333
2.71,4.416666667
2.71,4.5
2.71,4.583333333
2.71,4.666666667
2.71,4.75
2.71,4.833333333
2.71,4.916666667
2.71,5
2.71,5.083333333
2.71,5.166666667
2.71,5.25
2.7,5.333333333
2.71,5.416666667
2.71,5.5
2.71,5.583333333
2.71,5.666666667
2.7,5.75
2.7,5.833333333
2.7,5.916666667
2.71,6
2.71,6.083333333
2.7,6.166666667
2.7,6.25
2.71,6.333333333
2.71,6.416666667
2.71,6.5
2.71,6.583333333
2.7,6.666666667
2.71,6.75
2.71,6.833333333
2.7,6.916666667
2.71,7
2.71,7.083333333
2.7,7.166666667
2.7,7.25
2.71,7.333333333
2.71,7.416666667
2.7,7.5
2.71,7.583333333
2.71,7.666666667
2.71,7.75
2.71,7.833333333
2.71,7.916666667
2.71,8
2.71,8.083333333
2.71,8.166666667
2.71,8.25
2.7,8.333333333
2.7,8.416666667
2.7,8.5
2.7,8.583333333
2.7,8.666666667
2.71,8.75
2.71,8.833333333
2.71,8.916666667
2.71,9
2.71,9.083333333
2.71,9.166666667
2.7,9.25
2.71,9.333333333
2.7,9.416666667
2.71,9.5
2.71,9.583333333
2.71,9.666666667
2.71,9.75
2.71,9.833333333
2.71,9.916666667
2.7,10
2.71,10.08333333
2.71,10.16666667
2.71,10.25
2.71,10.33333333
2.71,10.41666667
2.71,10.5
2.71,10.58333333
2.71,10.66666667
2.71,10.75
2.71,10.83333333
2.71,10.91666667
2.71,11
2.71,11.08333333
