# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-27 20:56:01 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 021695045 TRIB TO ROCKY BRANCH AB GERVAIS ST AT COLUMBIA, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 021695045
#            TS   parameter     Description
#        177237       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	177237_00045	177237_00045_cd
5s	15s	20d	6s	14n	10s
USGS	021695045	2021-03-26 00:00	EDT	0.00	P
USGS	021695045	2021-03-26 00:15	EDT	0.00	P
USGS	021695045	2021-03-26 00:30	EDT	0.00	P
USGS	021695045	2021-03-26 00:45	EDT	0.00	P
USGS	021695045	2021-03-26 01:00	EDT	0.00	P
USGS	021695045	2021-03-26 01:15	EDT	0.00	P
USGS	021695045	2021-03-26 01:30	EDT	0.00	P
USGS	021695045	2021-03-26 01:45	EDT	0.00	P
USGS	021695045	2021-03-26 02:00	EDT	0.00	P
USGS	021695045	2021-03-26 02:15	EDT	0.00	P
USGS	021695045	2021-03-26 02:30	EDT	0.00	P
USGS	021695045	2021-03-26 02:45	EDT	0.00	P
USGS	021695045	2021-03-26 03:00	EDT	0.00	P
USGS	021695045	2021-03-26 03:15	EDT	0.00	P
USGS	021695045	2021-03-26 03:30	EDT	0.00	P
USGS	021695045	2021-03-26 03:45	EDT	0.00	P
USGS	021695045	2021-03-26 04:00	EDT	0.00	P
USGS	021695045	2021-03-26 04:15	EDT	0.00	P
USGS	021695045	2021-03-26 04:30	EDT	0.00	P
USGS	021695045	2021-03-26 04:45	EDT	0.00	P
USGS	021695045	2021-03-26 05:00	EDT	0.00	P
USGS	021695045	2021-03-26 05:15	EDT	0.00	P
USGS	021695045	2021-03-26 05:30	EDT	0.00	P
USGS	021695045	2021-03-26 05:45	EDT	0.00	P
USGS	021695045	2021-03-26 06:00	EDT	0.00	P
USGS	021695045	2021-03-26 06:15	EDT	0.00	P
USGS	021695045	2021-03-26 06:30	EDT	0.00	P
USGS	021695045	2021-03-26 06:45	EDT	0.00	P
USGS	021695045	2021-03-26 07:00	EDT	0.00	P
